pontoId,lat,lon,pathBTS1,pathBTS2,pathBTS3,pathBTS4,pathBTS5,pathBTS6,taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6
1,-8.077576,-34.899261,123.79,88.9566666666667,122.256666666667,126.89,132.79,138.056666666667,2,0,1,0,3,2
2,-8.07757,-34.899296,123.065,104.54,120.965,137.14,135.14,139.015,2,0,1,0,3,2
3,-8.077567,-34.899223,122.756666666667,88.7233333333333,119.223333333333,124.256666666667,135.29,132.923333333333,2,0,1,0,3,2
4,-8.07755,-34.899174,119.123333333333,82.0566666666667,121.656666666667,126.856666666667,133.09,133.923333333333,2,0,1,0,3,2
5,-8.077547,-34.899319,127.59,110.89,130.923333333333,138.29,135.823333333333,135.123333333333,2,0,1,0,3,2
6,-8.077546,-34.899288,122.415,91.19,120.465,128.165,135.115,134.04,2,0,1,0,3,2
7,-8.077545,-34.899265,121.79,89.24,126.64,127.34,126.99,140.14,2,0,1,0,3,2
8,-8.077541,-34.899246,123.815,87.89,122.065,126.74,135.09,138.59,2,0,1,0,3,2
9,-8.077541,-34.899231,122.923333333333,84.5233333333333,120.523333333333,125.856666666667,133.09,135.99,2,0,1,0,3,2
10,-8.07754,-34.899231,120.19,81.89,117.823333333333,124.29,128.69,137.956666666667,2,0,1,0,3,2
11,-8.07754,-34.899223,123.04,83.39,115.04,122.04,131.99,136.79,2,0,1,0,3,2
12,-8.077538,-34.899307,122.29,100.056666666667,117.923333333333,135.023333333333,133.49,137.09,2,0,1,0,3,2
13,-8.077538,-34.899231,116.096976744186,84.4597674418605,118.22488372093,124.122558139535,128.266744186047,138.899302325581,2,0,1,0,3,2
14,-8.077533,-34.899204,122.723333333333,82.4566666666667,117.89,122.156666666667,132.156666666667,136.423333333333,2,0,1,0,3,2
15,-8.07753,-34.899109,122.815,82.965,115.34,127.865,134.69,136.84,2,0,1,0,3,2
16,-8.07752,-34.899162,122.89,80.29,128.99,122.79,134.856666666667,136.19,2,0,1,0,3,2
17,-8.077514,-34.899326,120.39,108.34,120.94,133.14,130.69,139.74,2,0,1,0,3,2
18,-8.07751,-34.89904,123.556666666667,83.09,120.356666666667,126.156666666667,130.356666666667,139.423333333333,2,0,1,0,3,2
19,-8.077504,-34.899284,120.823333333333,97.7566666666667,115.99,127.656666666667,134.656666666667,134.356666666667,2,0,1,0,3,2
20,-8.077503,-34.899101,123.023333333333,79.0233333333333,118.356666666667,120.956666666667,129.59,141.29,2,0,1,0,3,2
21,-8.077502,-34.899303,123.256666666667,91.1566666666667,118.49,129.19,134.123333333333,136.556666666667,2,0,1,0,3,2
22,-8.077501,-34.899261,115.723333333333,87.3566666666667,114.99,121.39,132.123333333333,133.156666666667,2,0,1,0,3,2
23,-8.0775,-34.899338,127.423333333333,116.356666666667,122.656666666667,135.556666666667,134.323333333333,143.056666666667,2,0,1,0,3,2
24,-8.077494,-34.899319,118.59,102.34,109.89,131.59,133.64,137.59,2,0,1,0,3,2
25,-8.077494,-34.899231,124.323333333333,86.0233333333333,120.456666666667,123.056666666667,132.323333333333,133.423333333333,2,0,1,0,3,2
26,-8.077491,-34.898972,121.29,81.59,119.79,120.99,128.223333333333,132.856666666667,2,0,1,0,3,2
27,-8.077481,-34.899342,124.123333333333,108.79,122.423333333333,135.49,133.99,135.99,2,0,1,0,3,2
28,-8.07748,-34.899185,128.423333333333,85.0566666666667,121.423333333333,122.456666666667,127.123333333333,134.823333333333,2,0,1,0,3,2
29,-8.077478,-34.899029,123.823333333333,79.29,116.223333333333,122.123333333333,129.223333333333,142.156666666667,2,0,1,0,3,2
